last_obs_date,ibex_ret_1w,ibex_days,ibex_nstocks,date,macro_sent_w,macro_signal_w,macro_docs_w,macro_days
2023-01-06,0.03994823760673231,4,17.0,2022-12-31,,,,
2023-01-13,0.020732479987994636,5,17.0,2023-01-07,,,,
2023-01-20,0.00906902760812808,5,17.0,2023-01-14,,,,
2023-01-27,0.00842899256515952,5,17.0,2023-01-21,,,,
2023-02-03,0.009202415012321167,5,17.0,2023-01-28,,,,
2023-02-10,-0.007913336915521586,5,17.0,2023-02-04,,0.0,2.0,0.0
2023-02-17,0.020962094126404766,5,17.0,2023-02-11,,,,
2023-02-24,-0.01024605188826431,5,17.0,2023-02-18,,,,
2023-03-03,0.026516374941044654,5,17.0,2023-02-25,,,,
2023-03-10,-0.010731348389924537,5,17.0,2023-03-04,,,,
2023-03-17,-0.0488287787179897,5,17.0,2023-03-11,,,,
2023-03-24,0.011781817668186676,5,17.0,2023-03-18,-0.5016745328903198,1.0,1.0,1.0
2023-03-31,0.047289096256337086,5,17.0,2023-03-25,,,,
2023-04-06,0.014763550592197302,4,17.0,2023-04-01,,,,
2023-04-14,0.0040820413486009005,4,17.0,2023-04-08,,,,
2023-04-21,0.005626390033357324,5,17.0,2023-04-15,,,,
2023-04-28,-0.006934981265840043,5,17.0,2023-04-22,,,,
2023-05-05,-0.009931969011065247,4,17.0,2023-04-29,,,,
2023-05-12,0.005542324820392663,5,17.0,2023-05-06,,0.0,1.0,0.0
2023-05-19,-0.0018918895179486214,5,17.0,2023-05-13,,,,
2023-05-26,-0.008231844603745604,5,17.0,2023-05-20,,,,
2023-06-02,0.01765073447773573,5,17.0,2023-05-27,,,,
2023-06-09,-0.0026633545914815275,5,17.0,2023-06-03,,,,
2023-06-16,0.01759125981700651,5,17.0,2023-06-10,,,,
2023-06-23,-0.024595672326873444,5,17.0,2023-06-17,,,,
2023-06-30,0.029973306836559455,5,17.0,2023-06-24,,,,
2023-07-07,-0.030983782205682084,5,17.0,2023-07-01,,,,
2023-07-14,0.017663250317542418,5,17.0,2023-07-08,,,,
2023-07-21,0.01737251781948822,5,17.0,2023-07-15,,,,
2023-07-28,0.011053746564705886,5,17.0,2023-07-22,,,,
2023-08-04,-0.02941584726564922,5,17.0,2023-07-29,,,,
2023-08-11,0.007115554310378646,5,17.0,2023-08-05,,,,
2023-08-18,-0.023305983089079885,5,17.0,2023-08-12,,,,
2023-08-25,0.010668598601995885,5,17.0,2023-08-19,,,,
2023-09-01,0.016835845846745023,5,17.0,2023-08-26,,,,
2023-09-08,-0.004923591975775704,5,17.0,2023-09-02,,,,
2023-09-15,0.019968797549917514,5,17.0,2023-09-09,,,,
2023-09-22,-0.005749601461010281,5,17.0,2023-09-16,,,,
2023-09-29,-0.011111037640396546,5,17.0,2023-09-23,,,,
2023-10-06,-0.024838853688013945,5,17.0,2023-09-30,,,,
2023-10-13,0.007183503746009651,5,17.0,2023-10-07,,,,
2023-10-20,-0.02379611488239277,5,17.0,2023-10-14,,,,
2023-10-27,-0.01087304324450475,5,17.0,2023-10-21,,,,
2023-11-03,0.039748201075072105,5,17.0,2023-10-28,,,,
2023-11-10,0.0010558747525241429,5,17.0,2023-11-04,,0.0,1.0,0.0
2023-11-17,0.041468798610442135,5,17.0,2023-11-11,,,,
2023-11-24,0.017629407735664265,5,17.0,2023-11-18,,,,
2023-12-01,0.019957667491330003,5,17.0,2023-11-25,,,,
2023-12-08,0.008251666882628475,5,17.0,2023-12-02,,,,
2023-12-15,-0.006726481914258529,5,17.0,2023-12-09,,,,
2023-12-22,-0.00135617644450842,5,17.0,2023-12-16,,,,
2023-12-29,-0.004616564995179268,3,17.0,2023-12-23,,,,
