date,macro_sent,macro_signal,macro_docs,macro_wsum
2018-03-07,-0.7347256541252136,1.0,1.0,1.0
2018-03-23,,0.0,1.0,0.0
2018-05-07,,0.0,1.0,0.0
2018-05-24,,0.0,1.0,0.0
2018-06-12,,0.0,1.0,0.0
2018-06-24,,0.0,1.0,0.0
2018-07-05,,0.0,1.0,0.0
2018-09-26,,0.0,1.0,0.0
2018-10-02,,0.0,1.0,0.0
2018-10-09,,0.0,1.0,0.0
2018-11-26,,0.0,1.0,0.0
2018-12-19,,0.0,1.0,0.0
2019-02-15,,0.0,1.0,0.0
2019-06-14,,0.0,1.0,0.0
2019-08-07,,0.0,1.0,0.0
2019-10-30,,0.0,1.0,0.0
2020-08-06,0.5959483981132507,1.0,1.0,1.0
2020-09-21,,0.0,1.0,0.0
2021-12-10,,0.0,1.0,0.0
2021-12-14,,0.0,1.0,0.0
2021-12-17,,0.0,1.0,0.0
2022-02-14,0.677707850933075,1.0,1.0,1.0
2022-04-28,,0.0,1.0,0.0
2023-02-07,,0.0,2.0,0.0
2023-03-24,-0.5016745328903198,1.0,1.0,1.0
2023-05-11,,0.0,1.0,0.0
2023-11-06,,0.0,1.0,0.0
2024-12-09,,0.0,1.0,0.0
2025-04-02,,0.0,1.0,0.0
2025-04-24,0.6528183221817017,1.0,1.0,1.0
2025-04-28,,0.0,1.0,0.0
2025-05-12,,0.0,1.0,0.0
2025-05-14,,0.0,1.0,0.0
2025-05-21,0.6375079154968262,1.0,1.0,1.0
2025-05-22,,0.0,1.0,0.0
2025-05-27,-0.7190627455711365,1.0,1.0,1.0
2025-05-28,0.7782210111618042,1.0,1.0,1.0
2025-06-12,,0.0,1.0,0.0
2025-06-13,,0.0,1.0,0.0
2025-06-17,-0.745945930480957,1.0,1.0,1.0
2025-06-24,,0.0,1.0,0.0
2025-06-26,,0.0,1.0,0.0
2025-06-29,0.4547882676124573,1.0,1.0,1.0
2025-07-01,,0.0,1.0,0.0
2025-07-10,,0.0,1.0,0.0
2025-07-11,-0.8673153519630432,1.0,1.0,1.0
2025-07-17,,0.0,1.0,0.0
2025-07-28,-0.5173249840736389,1.0,1.0,1.0
2025-08-06,0.9065572619438171,1.0,1.0,1.0
2025-09-05,-0.7999724745750427,1.0,1.0,1.0
2025-09-19,-0.6655234694480896,1.0,1.0,1.0
2025-09-25,0.6785293817520142,1.0,1.0,1.0
2025-09-30,0.9536610841751099,1.0,1.0,1.0
2025-10-02,0.6932995915412903,1.0,1.0,1.0
2025-10-03,,0.0,1.0,0.0
2025-10-10,0.8786670565605164,1.0,1.0,1.0
2025-10-13,0.6716321706771851,1.0,1.0,1.0
2025-10-23,,0.0,1.0,0.0
2025-10-30,-0.8348991870880127,1.0,1.0,1.0
2025-11-06,-0.49848219752311707,1.0,1.0,1.0
2025-11-07,,0.0,1.0,0.0
2025-11-11,-0.8401566743850708,0.5,2.0,1.0
2025-11-12,,0.0,1.0,0.0
2025-11-13,,0.0,1.0,0.0
2025-11-17,0.7639020681381226,1.0,1.0,1.0
2025-11-18,-0.9664828181266785,0.5,1.0,0.5
2025-11-19,,0.0,1.0,0.0
2025-11-20,,0.0,2.0,0.0
2025-11-21,,0.0,2.0,0.0
2025-11-25,0.15677074909210204,0.35714285714285715,7.0,2.5
2025-11-27,0.7289261817932129,0.16666666666666666,2.0,0.3333333333333333
2025-12-01,-0.46815529465675354,0.25,2.0,0.5
2025-12-02,0.6706051230430603,0.16666666666666666,3.0,0.5
2025-12-03,-0.6984774669011434,0.75,2.0,1.5
2025-12-04,-0.583717554807663,0.3333333333333333,3.0,1.0
2025-12-05,-0.6711593270301819,0.5,2.0,1.0
2025-12-08,-0.1833672821521759,0.75,2.0,1.5
2025-12-09,,0.0,1.0,0.0
2025-12-10,0.83319491147995,0.08333333333333333,6.0,0.5
2025-12-11,-0.06407607793807983,0.2777777777777778,9.0,2.5
2025-12-12,-0.05286167065302531,0.21428571428571427,7.0,1.5
2025-12-15,-0.05752632032820593,0.5416666666666666,24.0,13.0
2025-12-16,-0.12635930857397018,0.42718446601941745,103.0,44.0
2025-12-17,-0.4801138107265745,0.4375,8.0,3.5
2025-12-18,-0.14904945152801471,0.5,35.0,17.5
2025-12-19,-0.08960348056323493,0.3806818181818182,88.0,33.5
2025-12-20,-0.328446070537155,0.6923076923076923,26.0,18.0
2025-12-21,-0.11818511287371318,0.375,8.0,3.0
2025-12-22,-0.06584464860977708,0.4117647058823529,34.0,14.0
2025-12-23,-0.13506184269984564,0.4024390243902439,82.0,33.0
2025-12-24,-0.07421723871527759,0.428,125.0,53.5
2025-12-25,-0.17354335002460305,0.41818181818181815,55.0,23.0
2025-12-26,-0.23356898940108684,0.4186046511627907,86.0,36.0
2025-12-27,0.24574336409568787,0.5,2.0,1.0
2025-12-28,0.5153847932815552,1.0,2.0,2.0
2025-12-29,6.54135431562167e-05,0.6363636363636364,11.0,7.0
2025-12-30,-0.1437682066355636,0.4230769230769231,52.0,22.0
2025-12-31,-0.09135408880248817,0.4375,96.0,42.0
2026-01-01,-0.10257419106860956,0.44642857142857145,56.0,25.0
