macro_sent_w,macro_signal_w,macro_docs_w,macro_days,date
-0.7347256541252136,1.0,1.0,1.0,2018-03-03
,0.0,1.0,0.0,2018-03-17
,0.0,1.0,0.0,2018-05-05
,0.0,1.0,0.0,2018-05-19
,0.0,1.0,0.0,2018-06-09
,0.0,1.0,0.0,2018-06-23
,0.0,1.0,0.0,2018-06-30
,0.0,1.0,0.0,2018-09-22
,0.0,1.0,0.0,2018-09-29
,0.0,1.0,0.0,2018-10-06
,0.0,1.0,0.0,2018-11-24
,0.0,1.0,0.0,2018-12-15
,0.0,1.0,0.0,2019-02-09
,0.0,1.0,0.0,2019-06-08
,0.0,1.0,0.0,2019-08-03
,0.0,1.0,0.0,2019-10-26
0.5959483981132507,1.0,1.0,1.0,2020-08-01
,0.0,1.0,0.0,2020-09-19
,0.0,1.0,0.0,2021-12-04
,0.0,2.0,0.0,2021-12-11
0.677707850933075,1.0,1.0,1.0,2022-02-12
,0.0,1.0,0.0,2022-04-23
,0.0,2.0,0.0,2023-02-04
-0.5016745328903198,1.0,1.0,1.0,2023-03-18
,0.0,1.0,0.0,2023-05-06
,0.0,1.0,0.0,2023-11-04
,0.0,1.0,0.0,2024-12-07
,0.0,1.0,0.0,2025-03-29
0.6528183221817017,1.0,1.0,1.0,2025-04-19
,0.0,1.0,0.0,2025-04-26
,0.0,2.0,0.0,2025-05-10
0.6375079154968262,0.5,2.0,1.0,2025-05-17
0.029579132795333862,1.0,2.0,2.0,2025-05-24
,0.0,2.0,0.0,2025-06-07
-0.745945930480957,1.0,1.0,1.0,2025-06-14
,0.0,2.0,0.0,2025-06-21
0.4547882676124573,0.5,2.0,1.0,2025-06-28
-0.8673153519630432,0.5,2.0,1.0,2025-07-05
,0.0,1.0,0.0,2025-07-12
-0.5173249840736389,1.0,1.0,1.0,2025-07-26
0.9065572619438171,1.0,1.0,1.0,2025-08-02
-0.7999724745750427,1.0,1.0,1.0,2025-08-30
-0.6655234694480896,1.0,1.0,1.0,2025-09-13
0.6785293817520142,1.0,1.0,1.0,2025-09-20
0.8234803378582001,0.6666666666666666,3.0,2.0,2025-09-27
0.8786670565605164,1.0,1.0,1.0,2025-10-04
0.6716321706771851,1.0,1.0,1.0,2025-10-11
,0.0,1.0,0.0,2025-10-18
-0.8348991870880127,1.0,1.0,1.0,2025-10-25
-0.49848219752311707,0.5,2.0,1.0,2025-11-01
-0.8401566743850708,0.16666666666666666,4.0,1.0,2025-11-08
0.18710710604985556,0.3,7.0,2.0,2025-11-15
0.2240831529392915,0.2619047619047619,9.0,2.0,2025-11-22
-0.4891929262214237,0.39999999999999997,12.0,5.0,2025-11-29
-0.016322694718837738,0.2650793650793651,25.0,4.0,2025-12-06
-0.12195634152173097,0.45740659017358043,258.0,5.0,2025-12-13
-0.15521359245536878,0.4494711274178425,416.0,7.0,2025-12-20
-0.08370864855496211,0.5738948551448552,219.0,6.0,2025-12-27
